Year model,Car Spec,Kilometres,Price,Transmission,Body type,Drive type,Fuel type,Fuel consumption per 100km,Colour ext,VIN,Dealer,Address,Seating capacity,Doors,CC,Number of cylinders,Fuel tank capacity,Valve gear type,Peak torque (Nm),Horsepower,Kerb weight,Make,Model,Variant,Lat,Lon
2016,2016 Holden Commodore Evoke VF II,108921,19988,Automatic,Wagon,Rear Wheel Drive,Unleaded Petrol,8.6,Silver,6G1FA8E53GL234096,Regent,"4 Hocking Road, KINGSLEY, WA",5,4,2997,6,73,24,290,249,1622,Holden,Commodore,Evoke,-31.80094,115.81669
2008,2008 Honda Accord V6 Luxury 50,228596,8985,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,10.0,Grey,MRHCP36408P062389,Auto Planet WA,"468 Albany Highway, Victoria Park, WA",5,4,3471,6,70,24,339,271,1650,Honda,Accord,V6 Luxury,-31.976168,115.898473
2014,2014 Jeep Grand Cherokee Blackhawk WK MY14,91447,29990,Automatic,Suv,Four Wheel Drive,Diesel,7.5,Grey,1C4RJFEM2FC623193,Motor Mall WA,"41 Buckingham Drive, Wangara, WA",5,4,2987,6,93,24,550,238,2191,Jeep,Grand Cherokee,Blackhawk,-31.78645,115.81995
2019,2019 Ford Ranger XL 3.2 (4X4) PX Mkiii MY19,229747,28980,Automatic,Ute tray,Four Wheel Drive,Diesel,8.7,White,MPBUMEF50KX208892,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,3198,5,80,20,470,198,2012,Ford,Ranger,XL 3.2 (4X4),-31.987188,115.935923
2013,2013 Holden Commodore SV6 VF,22852,34999,Manual,Sedan,Rear Wheel Drive,Unleaded Petrol,9.7,Silver,6G1FB5E36EL935562,John Hughes Used Cars Wangara,"8/10 Prindiville Drive, Wangara, WA",5,4,3565,6,73,24,350,282,1662,Holden,Commodore,SV6,-31.79166,115.81549
2016,2016 Isuzu D-MAX SX (4X4) TF MY15,154494,28880,Automatic,Ute tray,Four Wheel Drive,Diesel,8.1,White,MPATFS85JGT006545,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,2999,4,76,16,380,175,1795,Isuzu,D-MAX,SX (4X4),-31.987188,115.935923
2006,2006 Holden Calais V VE,178950,10990,Automatic,Sedan,Rear Wheel Drive,Unleaded Petrol,11.0,Grey,6G1EX55787L858292,Capital Automotive group,"8 Parkland Road, Osborne Park, WA",5,4,3565,6,73,24,340,262,1707,Holden,Calais,V,-31.91667,115.817585
2009,2009 Nissan Navara ST-X (4X4) D40,264658,13888,Manual,Ute tray,Four Wheel Drive,Diesel,9.8,White,VSKCVND40A0351130,Wangara Motors,"25 Prindiville Drive, Wangara, WA",5,4,2488,4,80,16,403,172,1985,Nissan,Navara,ST-X (4X4),-31.79038,115.81869
2018,2018 Volkswagen Passat Alltrack Wolfsburg EDT 3C MY18,57867,39999,Other,Suv,All Wheel Drive,Diesel,5.4,Blue,WVWZZZ3CZJE256802,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,4,1968,4,66,16,400,188,1671,Volkswagen,Passat,Alltrack Wolfsburg EDT,-31.995227,115.938215
2017,2017 Ford Focus Sport LZ,95000,19990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.2,Silver,MPB3XXMXC3HD39813,Osborne Park Mazda used,"430 Scarborough Beach Road, Osborne Park, WA",5,5,1498,4,55,16,240,178,1380,Ford,Focus,Sport,-31.90779,115.81192
2016,2016 Ford Territory TX (rwd) SZ MK2,39480,28990,Automatic,Suv,Rear Wheel Drive,Diesel,8.2,White,6FPAAAJGATGG21086,Platinum Automotive Sales,"198 Collier Rd, Bayswater, WA",5,4,2720,6,75,24,440,188,2021,Ford,Territory,TX (rwd),-31.904689,115.917071
