Year model,Car Spec,Kilometres,Price,Transmission,Body type,Drive type,Fuel type,Fuel consumption per 100km,Colour ext,VIN,Dealer,Address,Seating capacity,Doors,CC,Number of cylinders,Fuel tank capacity,Valve gear type,Peak torque (Nm),Horsepower,Kerb weight,Make,Model,Variant,Lat,Lon
2019,2019 Hyundai I30 Active PD2 MY19,74070,20998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,KMHH351EMKU096318,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203,161,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2019,2019 Hyundai I30 Active PD2 MY19,66975,21998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,KMHH351EMKU099596,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203,161,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2019,2019 Hyundai I30 Active PD2 MY19,68845,21998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,KMHH351EMKU088563,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203,161,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2017,2017 Mitsubishi Triton GLX (4X4) MQ MY18,188978,24750,Automatic,Ute tray,Four Wheel Drive,Diesel,7.6,White,MMAZYKL10HH025099,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,2440,4,75,16,430,179,1930,Mitsubishi,Triton,GLX (4X4),-31.987188,115.935923
2016,2016 Mitsubishi Triton GLX (4X4) MQ MY16,141855,26900,Automatic,Ute tray,Four Wheel Drive,Diesel,7.6,White,MMAJYKL10HH000452,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,2440,4,75,16,430,179,1930,Mitsubishi,Triton,GLX (4X4),-31.987188,115.935923
2018,2018 Volkswagen Golf 110 TSI Comfortline AU MY18,43147,26999,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.4,White,WVWZZZAUZJW153580,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,5,1395,4,50,16,250,148,1261,Volkswagen,Golf,110 TSI Comfortline,-31.995227,115.938215
2020,2020 Ford Ranger XL 2.2 HI-Rider (4X2) PX Mkiii MY20.25,51773,36750,Automatic,Ute tray,Rear Wheel Drive,Diesel,7.8,White,MNAUM1F80LW083391,Webb Auto Sales,"76 Division Street, Welshpool, WA",4,4,2198,4,80,16,385,159,1783,Ford,Ranger,XL 2.2 HI-Rider (4X2),-31.987188,115.935923
2009,2009 Audi S5 4.2 FSI Quattro 8T,163162,26921,Automatic,Coupe,All Wheel Drive,Premium Unleaded Petrol,12.4,White,WAUZZZ8T49A041980,Next Ride,"464 Canning Highway, Como, WA",4,2,4163,8,63,32,440,349,1630,Audi,S5,4.2 FSI Quattro,-32.00604,115.8597
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,23710,22750,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU082387,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,999,3,40,12,175,94,1104,Volkswagen,Polo,70TSI Trendline,-31.987188,115.935923
2021,2021 Mercedes-Benz GLB35 4Matic X247 MY21.5,23300,89990,Automatic,Suv,All Wheel Drive,Premium Unleaded Petrol,8.3,White,W1N2476512W108894,Mercedes-Benz Perth used,"1093 Albany Highway, Bentley, WA",7,4,1991,4,60,16,400,302,1839,Mercedes-Benz,GLB35,4Matic,-31.999547,115.916029
2013,2013 Subaru Forester 2.5I MY13,130520,19990,Continuous Variable,Suv,All Wheel Drive,Unleaded Petrol,8.1,Blue,JF2SJ9KC5DG010836,Platinum Automotive Sales,"198 Collier Rd, Bayswater, WA",5,4,2498,4,60,16,235,169,1488,Subaru,Forester,2.5I,-31.904689,115.917071
2015,2015 Holden Commodore Evoke VF II,175980,11990,Automatic,Sedan,Rear Wheel Drive,Unleaded Petrol,8.3,Other,6G1FA5E53FL136067,MT Lawley Motors P/L,"391 Guildford Road, Bayswater, WA",5,4,2997,6,73,24,290,249,1622,Holden,Commodore,Evoke,-31.92562,115.90992
2006,2006 Mitsubishi Pajero VR-X LWB (4X4) NS,308429,13990,Automatic,Suv,Four Wheel Drive,Unleaded Petrol,13.5,Other,JMFLYV97W7J000212,Capital Automotive group,"8 Parkland Road, Osborne Park, WA",7,4,3828,6,88,24,329,247,2065,Mitsubishi,Pajero,VR-X LWB (4X4),-31.91667,115.817585
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,27841,22750,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU082051,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,999,3,40,12,175,94,1104,Volkswagen,Polo,70TSI Trendline,-31.987188,115.935923
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,36612,22750,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU061987,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,999,3,40,12,175,94,1104,Volkswagen,Polo,70TSI Trendline,-31.987188,115.935923
2014,2014 Ford Ranger XL 2.2 HI-Rider (4X2) PX,145650,21990,Automatic,Ute tray,Rear Wheel Drive,Diesel,8.9,White,MNAUMFF80EW251119,Capital Automotive group,"8 Parkland Road, Osborne Park, WA",5,4,2198,4,80,16,375,148,1821,Ford,Ranger,XL 2.2 HI-Rider (4X2),-31.91667,115.817585
2019,2019 Kia Cerato Sport NAV BD MY19,28320,27998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Blue,KNAF351CMK5062523,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,5,1999,4,50,16,192,151,1320,Kia,Cerato,Sport NAV,-32.0166894,115.9322155
2019,2019 Volkswagen Golf R AU MY19,43155,49990,Automatic,Hatch,All Wheel Drive,Premium Unleaded Petrol,8.0,White,WVWZZZAUZLW002195,Wangara MG Used,"20 Motor Parade, Wangara, WA",5,5,1984,4,55,16,380,286,1450,Volkswagen,Golf,R,-31.794136,115.816569
2015,2015 Toyota Hilux Workmate TGN16R MY14,107740,25990,Manual,Ute tray,Rear Wheel Drive,Unleaded Petrol,11.0,White,MR0CX12G500133525,Grand Toyota Wangara used,"1 Lancaster Road, Wangara, WA",3,2,2694,4,76,16,241,159,1430,Toyota,Hilux,Workmate,-31.796743,115.815802
2013,2013 Ford Falcon G6E FG MK2,51430,20998,Automatic,Sedan,Rear Wheel Drive,Unleaded Petrol,9.9,Blue,6FPAAAJGSWDK48875,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,3984,6,68,24,391,262,1754,Ford,Falcon,G6E,-32.0166894,115.9322155
2016,2016 LDV V80 SWB LOW K1,88951,18980,Manual,Commercial,Front Wheel Drive,Diesel,8.9,White,LSKG4GL18FA228065,Webb Auto Sales,"76 Division Street, Welshpool, WA",3,4,2499,4,80,16,330,135,2040,LDV,V80,SWB LOW,-31.987188,115.935923
2019,2019 Kia Cerato Sport NAV BD MY19,75522,25998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Blue,KNAF351CMK5062350,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,5,1999,4,50,16,192,151,1320,Kia,Cerato,Sport NAV,-32.0166894,115.9322155
2016,2016 Ford Ranger XL 2.2 HI-Rider (4X2) PX Mkii,104041,26500,Automatic,Ute tray,Rear Wheel Drive,Diesel,7.5,White,MNAUM1F80GW602857,Webb Auto Sales,"76 Division Street, Welshpool, WA",4,4,2198,4,80,16,385,159,1759,Ford,Ranger,XL 2.2 HI-Rider (4X2),-31.987188,115.935923
2011,2011 Nissan Dualis TI (4X4) J10 Series II,140100,14990,Automatic,Suv,All Wheel Drive,Unleaded Petrol,8.4,Black,SJNFBAJ10A2213966,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,1997,4,65,16,198,137,1551,Nissan,Dualis,TI (4X4),-32.04529,115.97387
2006,2006 Nissan Navara ST-X (4X4) D40,274000,12990,Manual,Ute tray,Four Wheel Drive,Diesel,9.8,Silver,VSKCVND40A0100053,Capital Automotive group,"8 Parkland Road, Osborne Park, WA",5,4,2488,4,80,16,403,172,1985,Nissan,Navara,ST-X (4X4),-31.91667,115.817585
2018,2018 Ford Mondeo Ambiente MD MY18.25,73078,21990,Automatic,Hatch,Front Wheel Drive,Diesel,5.1,White,WF0EXXWPCEHE21824,Grand Toyota Wangara used,"1 Lancaster Road, Wangara, WA",5,5,1997,4,60,16,400,178,1659,Ford,Mondeo,Ambiente,-31.796743,115.815802
2014,2014 Audi A1 Sportback 1.4 Tfsi Attraction 8X MY14,179400,12990,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.3,Black,WAUZZZ8X2EB043511,Motoroo,"1787 Albany Highway, Kenwick, WA",5,5,1390,4,45,16,200,121,1160,Audi,A1,Sportback 1.4 Tfsi Attraction,-32.04529,115.97387
2008,2008 Audi A4 2.0 TDI B8 (8K),215707,9990,Other,Sedan,Front Wheel Drive,Diesel,5.8,Black,WAUZZZ8K99A053405,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,1968,4,65,16,320,141,1555,Audi,A4,2.0 TDI,-32.04529,115.97387
2014,2014 Hyundai I20 Active PB MY14,86954,10990,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,5.3,Red,MALBB51CLEM652715,Aberdeen Auto Auctions,"527 Newcastle Street, West Perth, WA",5,5,1396,4,45,16,136,98,1110,Hyundai,I20,Active,-31.941255,115.848861
2020,2020 Suzuki Swift GL Navi Plus AZ Series II,4534,25998,Continuous Variable,Hatch,Front Wheel Drive,Unleaded Petrol,4.8,Silver,JSAAZC83S00400050,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,5,1242,4,37,16,120,89,900,Suzuki,Swift,GL Navi Plus,-32.0166894,115.9322155
2016,2016 Honda Civic VTI-LX MY16,108095,23990,Continuous Variable,Sedan,Front Wheel Drive,Unleaded Petrol,6.0,White,MRHFC1690GT070050,Aberdeen Auto Auctions,"527 Newcastle Street, West Perth, WA",5,4,1498,4,47,16,220,171,1331,Honda,Civic,VTI-LX,-31.941255,115.848861
2014,2014 Toyota Yaris YR NCP130R,50099,15999,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.3,White,JTDJW3D330D554554,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,3,1299,4,42,16,121,85,1035,Toyota,Yaris,YR,-31.995227,115.938215
2015,2015 Nissan Pulsar ST-S C12,123204,11990,Manual,Hatch,Front Wheel Drive,Premium Unleaded Petrol,7.7,Silver,MNTFCAC12A0001552,DNA CAR SALES,"16 Baretta Road, Wangara, WA",5,5,1618,4,52,16,240,188,1320,Nissan,Pulsar,ST-S,-31.79241,115.82027
2014,2014 Suzuki Swift GL Navigator FZ MY14,99611,15990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.2,Black,JSAFZC82S00307372,Motoroo,"1787 Albany Highway, Kenwick, WA",5,5,1372,4,42,16,130,94,1045,Suzuki,Swift,GL Navigator,-32.04529,115.97387
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,26980,22750,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU081905,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,999,3,40,12,175,94,1104,Volkswagen,Polo,70TSI Trendline,-31.987188,115.935923
2019,2019 Hyundai I30 Active PD2 MY19,58065,21998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,KMHH351EMKU088567,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203,161,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2016,2016 Toyota 86 GTS ZN6 MY15,54925,27999,Manual,Coupe,Rear Wheel Drive,Premium Unleaded Petrol,7.8,Grey,JF1ZN6K81GG034928,Total Nissan used,"1251 Albany Highway, Cannington, WA",4,2,1998,4,50,16,205,198,1275,Toyota,86,GTS,-32.011251,115.925422
2019,2019 Hyundai I30 Active PD2 MY19,62365,21998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,White,KMHH351EMKU097590,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203,161,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2016,2016 Hyundai Accent Active RB4 MY16,129250,14999,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.2,White,KMHCT51BTGU276587,How I Met My Car,"15 Forrest Street, Subiaco, WA",5,5,1368,4,43,16,133,100,1140,Hyundai,Accent,Active,-31.94821725,115.82050213950265
2010,2010 Hyundai I30 CW SX 2.0 FD MY10,197837,7999,Manual,Wagon,Front Wheel Drive,Unleaded Petrol,7.7,White,KMHDB81ELBU089350,Wangara Used Car Centre,"7 Pembroke Road, Wangara, WA",5,4,1975,4,53,16,186,141,1390,Hyundai,I30,CW SX 2.0,-31.797369,115.818506
2020,2020 Mazda CX-5 Touring (4X4) MY19 (KF Series 2),67009,35888,Automatic,Suv,All Wheel Drive,Unleaded Petrol,7.5,Silver,JM0KF4WLA00403791,Total Nissan used,"1251 Albany Highway, Cannington, WA",5,4,2488,4,58,16,252,188,1641,Mazda,CX-5,Touring (4X4),-32.011251,115.925422
2014,2014 Porsche Cayenne Diesel Platinum Edition Series 2,133114,49900,Automatic,Suv,All Wheel Drive,Diesel,7.4,Grey,WP1ZZZ92ZELA44656,Porsche Centre Perth used,"101 Stirling Highway, Nedlands, WA",5,4,2967,6,100,24,550,237,2175,Porsche,Cayenne,Diesel Platinum Edition,-31.97905425,115.80173020000001
2012,2012 Hyundai IX35 Active (fwd) LM MY11,174531,11999,Automatic,Suv,Front Wheel Drive,Unleaded Petrol,8.5,Blue,KMHJT81BMCU418997,Wangara Used Car Centre,"7 Pembroke Road, Wangara, WA",5,4,1998,4,55,16,197,164,1485,Hyundai,IX35,Active (fwd),-31.797369,115.818506
2008,2008 Mazda 6 Classic GH,183000,10990,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,8.9,Red,JM0GH105100113483,DNA CAR SALES,"16 Baretta Road, Wangara, WA",5,5,2488,4,64,16,226,168,1478,Mazda,6,Classic,-31.79241,115.82027
2012,2012 Hyundai I30 CW SX 2.0 FD MY12,106349,12990,Automatic,Wagon,Front Wheel Drive,Unleaded Petrol,7.7,Black,KMHDB81EMCU148675,Platinum Automotive Sales,"198 Collier Rd, Bayswater, WA",5,4,1975,4,53,16,186,141,1390,Hyundai,I30,CW SX 2.0,-31.904689,115.917071
2010,2010 Mazda 3 NEO BL,211678,7999,Manual,Sedan,Front Wheel Drive,Unleaded Petrol,7.9,Grey,JM0BL10F100152359,MT Lawley Motors P/L,"391 Guildford Road, Bayswater, WA",5,4,1999,4,55,16,182,145,1290,Mazda,3,NEO,-31.92562,115.90992
2020,2020 Toyota Hilux SR (4X4) GUN126R Facelift,164402,41990,Manual,Ute tray,Four Wheel Drive,Diesel,7.4,White,MR0KA3CD801241418,Big Rock Toyota used,"445 Wanneroo Road, Balcatta, WA",5,4,2753,4,80,16,420,202,2055,Toyota,Hilux,SR (4X4),-31.86697,115.82846
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,31642,22750,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU062190,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,999,3,40,12,175,94,1104,Volkswagen,Polo,70TSI Trendline,-31.987188,115.935923
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,34875,22750,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU083280,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,999,3,40,12,175,94,1104,Volkswagen,Polo,70TSI Trendline,-31.987188,115.935923
2022,2022 Ford Ranger XL 2.0 (4X4) PY MY22,9368,52990,Automatic,Ute tray,Four Wheel Drive,Diesel,7.6,White,MPBCMFF60NX410854,Lynford used,"300 Scarborough Beach Road, Osborne Park, WA",5,4,1996,4,80,16,500,207,2227,Ford,Ranger,XL 2.0 (4X4),-31.913327,115.824971
2009,2009 Dodge Nitro SX KA MY08,118987,10990,Automatic,Suv,Four Wheel Drive,Unleaded Petrol,12.1,Other,1D8G928K89W555960,MT Lawley Motors P/L,"391 Guildford Road, Bayswater, WA",5,4,3700,6,73,12,314,203,1875,Dodge,Nitro,SX,-31.92562,115.90992
2010,2010 Hyundai I45 Active YF,202258,9999,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,7.9,Grey,KMHEC41DMCA303871,The Car Guys,"1143 Albany Highway, Bentley, WA",5,4,2359,4,70,16,250,199,1529,Hyundai,I45,Active,-32.00236,115.91905
2021,2021 Toyota Landcruiser Prado GXL Flat Tailgate GDJ150R,21619,79990,Automatic,Suv,Four Wheel Drive,Diesel,7.9,Grey,JTEBR3FJ70K207873,Big Rock Toyota used,"445 Wanneroo Road, Balcatta, WA",7,4,2755,4,87,16,500,202,2265,Toyota,Landcruiser Prado,GXL Flat Tailgate,-31.86697,115.82846
2021,2021 Toyota Camry Ascent ASV70R,13820,32999,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,7.8,White,JTNBF3HKX03064278,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,4,2494,4,60,16,231,179,1490,Toyota,Camry,Ascent,-31.995227,115.938215
2019,2019 Hyundai I30 Active PD2 MY20,60970,23999,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Red,KMHH351EMKU105916,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,4,1999,4,50,16,203,161,1276,Hyundai,I30,Active,-31.995227,115.938215
2019,2019 Hyundai I30 Active PD2 MY20,79135,21998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,White,KMHH351EMLU130079,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203,161,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2022,2022 Suzuki Baleno GL Series II,24540,22998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,5.4,White,MBHEWB52S00845869,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1373,4,37,16,130,92,915,Suzuki,Baleno,GL,-32.0166894,115.9322155
2010,2010 Audi A3 1.6 Attraction 8P,102134,12990,Manual,Other,Front Wheel Drive,Premium Unleaded Petrol,7.0,White,TRUZZZ8P7B1010014,Motoroo,"1787 Albany Highway, Kenwick, WA",4,2,1595,4,55,8,148,101,1330,Audi,A3,1.6 Attraction,-32.04529,115.97387
2019,2019 Hyundai I30 Active PD2 MY20,75958,22998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,KMHH351EMLU121603,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203,161,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2011,2011 Hyundai IX35 Active (fwd) LM MY11,131922,13990,Automatic,Suv,Front Wheel Drive,Unleaded Petrol,8.5,Silver,KMHJT81BMAU147797,BUCKINGHAM DRIVE AUTOS,"24 Buckingham Drive, Wangara, WA",5,4,1998,4,55,16,197,164,1485,Hyundai,IX35,Active (fwd),-31.78741,115.81759
2022,2022 Toyota Landcruiser Prado GX GDJ150R,10665,81988,Automatic,Suv,Four Wheel Drive,Diesel,7.9,White,JTEBR3FJ10K241467,Westside Auto Wholesale,"42 Ewing Street, Bentley, WA",5,4,2755,4,150,16,500,202,2240,Toyota,Landcruiser Prado,GX,-31.99962,115.9236
2012,2012 Toyota Yaris YR NCP130R,105217,10990,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,5.7,White,JTDKW3D390D515942,Prindiville Car Sales,"1/38 Prindiville Drive, Wangara, WA",5,5,1299,4,42,16,121,85,1035,Toyota,Yaris,YR,-31.79155,115.82158
2021,2021 Toyota Yaris SX Mxpa10R,25739,28999,Continuous Variable,Hatch,Front Wheel Drive,Unleaded Petrol,4.9,Red,JTDKAAA3501002888,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,5,1490,3,40,16,145,119,1025,Toyota,Yaris,SX,-31.995227,115.938215
2019,2019 Toyota Camry Ascent (hybrid) Axvh71R MY19,117694,32888,Continuous Variable,Sedan,Front Wheel Drive,Other,4.2,Blue,JTNB23HK403050033,City Toyota Perth,"220 Newcastle Street, Northbridge, WA",5,4,2494,4,50,16,231,179,1580,Toyota,Camry,Ascent (hybrid),-31.9432313,115.8544195
2013,2020 Kia Sportage GT-Line (awd) QL MY20,56205,35888,Automatic,Suv,All Wheel Drive,Unleaded Petrol,8.5,White,KNAPR81CSL7818714,Osborne Park CJD used,"474 Scarborough Beach Road, Osborne Park, WA",5,4,2359,4,62,16,237,182,1642,Kia,Sportage,GT-Line (awd),-31.90425,115.80696
2009,2009 Dodge Nitro SXT KA MY08,170819,9999,Automatic,Suv,Four Wheel Drive,Unleaded Petrol,12.1,Black,1D8G958K19W555994,The Car Guys,"1143 Albany Highway, Bentley, WA",5,4,3700,6,73,12,314,203,1875,Dodge,Nitro,SXT,-32.00236,115.91905
2011,2011 Mitsubishi Triton GL-R (4X4) MN MY11,280102,11990,Manual,Ute tray,Four Wheel Drive,Diesel,9.1,Silver,MMAJNKB40BD010602,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,2477,4,75,16,400,176,1920,Mitsubishi,Triton,GL-R (4X4),-32.04529,115.97387
2020,2019 Subaru Liberty 2.5I AWD MY20,59213,26988,Continuous Variable,Sedan,All Wheel Drive,Unleaded Petrol,7.3,Other,JF1BN9KC2KG030947,Westside Auto Wholesale,"42 Ewing Street, Bentley, WA",5,4,2498,4,60,16,235,173,1512,Subaru,Liberty,2.5I AWD,-31.99962,115.9236
2019,2018 Ford Ranger XLS 3.2 (4X4) (5 YR) PX Mkii MY18,161397,32980,Automatic,Ute tray,Four Wheel Drive,Diesel,8.7,White,MPBUMFF50JX166764,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,3198,5,80,20,470,198,1938,Ford,Ranger,XLS 3.2 (4X4) (5 YR),-31.987188,115.935923
2008,2008 Honda Accord V6 Luxury 50,177670,9990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,10.0,Other,MRHCP36408P061496,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,3471,6,70,24,339,271,1650,Honda,Accord,V6 Luxury,-32.04529,115.97387
2013,2013 Ford Kuga Titanium (awd) TF,142473,13990,Automatic,Suv,All Wheel Drive,Diesel,6.4,Blue,WF0AXXWPMADJ86015,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,1997,4,60,16,340,161,1796,Ford,Kuga,Titanium (awd),-32.04529,115.97387
2010,2010 Audi A3 Sportback 1.8 Tfsi Ambition 8P MY09,127695,10990,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,8.5,Red,WAUZZZ8P9AA162222,Motoroo,"1787 Albany Highway, Kenwick, WA",5,5,1798,4,55,16,250,159,1345,Audi,A3,Sportback 1.8 Tfsi Ambition,-32.04529,115.97387
2009,2009 Hyundai I30 SX FD MY09,191311,9990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.6,Silver,KMHDB51ER9U170314,Uppill Place Car Disposal Centre,"77 Buckingham Drive, Wangara, WA",5,5,1975,4,53,16,186,141,1377,Hyundai,I30,SX,-31.78773,115.82755
2013,2013 Ford Kuga Trend (awd) TF,131662,12750,Automatic,Suv,All Wheel Drive,Premium Unleaded Petrol,8.0,Other,WF0AXXWPMADP36721,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,1596,4,60,16,240,180,1675,Ford,Kuga,Trend (awd),-31.987188,115.935923
2010,2010 Nissan Dualis ST (4X2) J10 Series II,115116,12990,Automatic,Suv,Front Wheel Drive,Unleaded Petrol,8.2,Grey,SJNFBAJ10A2160616,DNA CAR SALES,"16 Baretta Road, Wangara, WA",5,4,1997,4,65,16,198,137,1455,Nissan,Dualis,ST (4X2),-31.79241,115.82027
2021,2021 Mercedes-Benz Vito 116 CDI LWB RWD 447 MY21,13000,63990,Automatic,Commercial,Rear Wheel Drive,Diesel,6.8,White,W1V44760523920378,Mercedes-Benz Perth used,"1093 Albany Highway, Bentley, WA",2,5,2143,4,70,16,380,161,1990,Mercedes-Benz,Vito,116 CDI LWB RWD,-31.999547,115.916029
2009,2009 Chrysler 300C CRD LE MY08,232824,12990,Automatic,Sedan,Rear Wheel Drive,Diesel,8.2,Silver,1C3H9E3M09Y505642,Wangara Motors,"25 Prindiville Drive, Wangara, WA",5,4,2987,6,71,24,510,215,1782,Chrysler,300C,CRD,-31.79038,115.81869
2003,2003 Toyota Camry Altise ACV36R,120810,7990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,9.5,White,6T153BK360X019276,Zai Motors,"1042 Albany Highway, Saint James, WA",5,4,2362,4,70,16,218,151,1370,Toyota,Camry,Altise,-31.996515,115.914741
2007,2007 Toyota Tarago GLI V6 GSR50R,235901,13990,Automatic,Wagon,Front Wheel Drive,Premium Unleaded Petrol,10.2,Silver,TBATBATBATBATBATB,Capital Automotive group,"8 Parkland Road, Osborne Park, WA",8,4,3456,6,65,24,340,271,1870,Toyota,Tarago,GLI V6,-31.91667,115.817585
2015,2015 Suzuki Swift GL Navigator FZ MY14,93770,14999,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.2,White,JSAFZC82S00312384,Wangara Used Car Centre,"7 Pembroke Road, Wangara, WA",5,5,1372,4,42,16,130,94,1045,Suzuki,Swift,GL Navigator,-31.797369,115.818506
2020,2020 Volkswagen Golf 110 TSI Trendline AU MY20,32360,24999,Automatic,Wagon,Front Wheel Drive,Premium Unleaded Petrol,5.6,Grey,WVWZZZAUZLP569548,Town of Cars,"4 Christian Court, Bayswater, WA",5,4,1395,4,50,16,250,148,1324,Volkswagen,Golf,110 TSI Trendline,-31.90887,115.91621
2014,2014 Mitsubishi Triton GLX MN MY15,53500,24990,Manual,Ute tray,Rear Wheel Drive,Diesel,8.1,White,MMAJNKB40ED010486,AutoTribe,"545 Newcastle Street, West Perth, WA",5,4,2477,4,75,16,400,176,1691,Mitsubishi,Triton,GLX,-31.94074,115.84835
2018,2018 Isuzu D-MAX SX (4X4) TF MY18,104532,39980,Automatic,Ute tray,Four Wheel Drive,Diesel,7.9,White,MPATFS85JJT007873,Westside Auto Wholesale,"42 Ewing Street, Bentley, WA",5,4,2999,4,76,16,430,175,1815,Isuzu,D-MAX,SX (4X4),-31.99962,115.9236
2003,2003 Ford Falcon XR8 BA,206213,12990,Manual,Sedan,Rear Wheel Drive,Unleaded Petrol,12.5,Blue,6FPAAAJGSW3D49563,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,5408,8,68,32,500,349,1747,Ford,Falcon,XR8,-32.04529,115.97387
2008,2008 Holden Commodore SV6 VE MY09,213297,12990,Automatic,Wagon,Rear Wheel Drive,Unleaded Petrol,11.0,Other,6G1EK85799L311101,Capital Automotive group,"8 Parkland Road, Osborne Park, WA",5,4,3565,6,73,24,340,262,1684,Holden,Commodore,SV6,-31.91667,115.817585
2009,2009 Mazda 3 Maxx Sport BL,175303,10990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,8.2,Red,JM0BL10F100134740,Perth Cars and Commercials,"707 Albany Highway, East Victoria Park, WA",5,4,1999,4,55,16,182,145,1305,Mazda,3,Maxx Sport,-31.98209,115.90096
