Year model,Car Spec,Kilometres,Price,Transmission,Body type,Drive type,Fuel type,Fuel consumption per 100km,Colour ext,VIN,Dealer,Address,Seating capacity,Doors,CC,Number of cylinders,Fuel tank capacity,Valve gear type,Maximum torque,Maximum power (kW),Kerb weight,Make,Model,Variant,lat,lon
2019,2019 Kia Cerato Sport NAV BD MY19,28320,27998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Blue,KNAF351CMK5062523,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,5,1999,4,50,16,192 @ 4000 RPM,112 @ 6200 RPM,1320,Kia,Cerato,Sport NAV,-32.0166894,115.9322155
2019,2019 Volkswagen Golf R AU MY19,43155,49990,Other,Hatch,All Wheel Drive,Premium Unleaded Petrol,8.0,White,WVWZZZAUZLW002195,Wangara MG Used,"20 Motor Parade, Wangara, WA",5,5,1984,4,55,16,380 @ 1850 RPM,213 @ 5400 RPM,1450,Volkswagen,Golf,R,-31.794136,115.816569
2015,2015 Toyota Hilux Workmate TGN16R MY14,107740,25990,Manual,Ute tray,Rear Wheel Drive,Unleaded Petrol,11.0,White,MR0CX12G500133525,Grand Toyota Wangara used,"1 Lancaster Road, Wangara, WA",3,2,2694,4,76,16,241 @ 3800 RPM,118 @ 5200 RPM,1430,Toyota,Hilux,Workmate,-31.796743,115.815802
2013,2013 Ford Falcon G6E FG MK2,51430,20998,Automatic,Sedan,Rear Wheel Drive,Unleaded Petrol,9.9,Blue,6FPAAAJGSWDK48875,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,3984,6,68,24,391 @ 3250 RPM,195 @ 6000 RPM,1754,Ford,Falcon,G6E,-32.0166894,115.9322155
2016,2016 LDV V80 SWB LOW K1,88951,18980,Manual,Other,Front Wheel Drive,Diesel,8.9,White,LSKG4GL18FA228065,Webb Auto Sales,"76 Division Street, Welshpool, WA",3,4,2499,4,80,16,330 @ 1800 RPM,100 @ 3800 RPM,2040,LDV,V80,SWB LOW,-31.987188,115.935923
2019,2019 Kia Cerato Sport NAV BD MY19,75522,25998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Blue,KNAF351CMK5062350,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,5,1999,4,50,16,192 @ 4000 RPM,112 @ 6200 RPM,1320,Kia,Cerato,Sport NAV,-32.0166894,115.9322155
2016,2016 Ford Ranger XL 2.2 HI-Rider (4X2) PX Mkii,104041,26500,Automatic,Ute tray,Rear Wheel Drive,Diesel,7.5,White,MNAUM1F80GW602857,Webb Auto Sales,"76 Division Street, Welshpool, WA",4,4,2198,4,80,16,385 @ 1600 RPM,118 @ 3200 RPM,1759,Ford,Ranger,XL 2.2 HI-Rider (4X2),-31.987188,115.935923
2011,2011 Nissan Dualis TI (4X4) J10 Series II,140100,14990,Other,Suv,All Wheel Drive,Unleaded Petrol,8.4,Black,SJNFBAJ10A2213966,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,1997,4,65,16,198 @ 4500 RPM,102 @ 5200 RPM,1551,Nissan,Dualis,TI (4X4),-32.04529,115.97387
2006,2006 Nissan Navara ST-X (4X4) D40,274000,12990,Manual,Ute tray,4x4,Diesel,9.8,Silver,VSKCVND40A0100053,Capital Automotive group,"8 Parkland Road, Osborne Park, WA",5,4,2488,4,80,16,403 @ 2000 RPM,128 @ 4000 RPM,1985,Nissan,Navara,ST-X (4X4),-31.91667,115.817585
2018,2018 Ford Mondeo Ambiente MD MY18.25,73078,21990,Automatic,Hatch,Front Wheel Drive,Diesel,5.1,White,WF0EXXWPCEHE21824,Grand Toyota Wangara used,"1 Lancaster Road, Wangara, WA",5,5,1997,4,60,16,400 @ 2000 RPM,132 @ 3500 RPM,1659,Ford,Mondeo,Ambiente,-31.796743,115.815802
2014,2014 Audi A1 Sportback 1.4 Tfsi Attraction 8X MY14,179400,12990,Other,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.3,Black,WAUZZZ8X2EB043511,Motoroo,"1787 Albany Highway, Kenwick, WA",5,5,1390,4,45,16,200 @ 1500 RPM,90 @ 5000 RPM,1160,Audi,A1,Sportback 1.4 Tfsi Attraction,-32.04529,115.97387
2008,2008 Audi A4 2.0 TDI B8 (8K),215707,9990,Other,Sedan,Front Wheel Drive,Diesel,5.8,Black,WAUZZZ8K99A053405,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,1968,4,65,16,320 @ 1750 RPM,105 @ 4200 RPM,1555,Audi,A4,2.0 TDI,-32.04529,115.97387
2014,2014 Hyundai I20 Active PB MY14,86954,10990,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,5.3,Red,MALBB51CLEM652715,Aberdeen Auto Auctions,"527 Newcastle Street, West Perth, WA",5,5,1396,4,45,16,136 @ 4200 RPM,73 @ 5500 RPM,1110,Hyundai,I20,Active,-31.941255,115.848861
2020,2020 Suzuki Swift GL Navi Plus AZ Series II,4534,25998,Continuous Variable,Hatch,Front Wheel Drive,Unleaded Petrol,4.8,Silver,JSAAZC83S00400050,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,5,1242,4,37,16,120 @ 4400 RPM,66 @ 6000 RPM,900,Suzuki,Swift,GL Navi Plus,-32.0166894,115.9322155
2016,2016 Honda Civic VTI-LX MY16,108095,23990,Continuous Variable,Sedan,Front Wheel Drive,Unleaded Petrol,6.0,White,MRHFC1690GT070050,Aberdeen Auto Auctions,"527 Newcastle Street, West Perth, WA",5,4,1498,4,47,16,220 @ 1700 RPM,127 @ 5500 RPM,1331,Honda,Civic,VTI-LX,-31.941255,115.848861
2014,2014 Toyota Yaris YR NCP130R,50099,15999,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.3,White,JTDJW3D330D554554,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,3,1299,4,42,16,121 @ 4400 RPM,63 @ 6000 RPM,1035,Toyota,Yaris,YR,-31.995227,115.938215
2015,2015 Nissan Pulsar ST-S C12,123204,11990,Manual,Hatch,Front Wheel Drive,Premium Unleaded Petrol,7.7,Silver,MNTFCAC12A0001552,DNA CAR SALES,"16 Baretta Road, Wangara, WA",5,5,1618,4,52,16,240 @ 2000 RPM,140 @ 5600 RPM,1320,Nissan,Pulsar,ST-S,-31.79241,115.82027
2014,2014 Suzuki Swift GL Navigator FZ MY14,99611,15990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.2,Black,JSAFZC82S00307372,Motoroo,"1787 Albany Highway, Kenwick, WA",5,5,1372,4,42,16,130 @ 4000 RPM,70 @ 6000 RPM,1045,Suzuki,Swift,GL Navigator,-32.04529,115.97387
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,26980,22750,Other,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU081905,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,999,3,40,12,175 @ 2000 RPM,70 @ 5000 RPM,1104,Volkswagen,Polo,70TSI Trendline,-31.987188,115.935923
2019,2019 Hyundai I30 Active PD2 MY19,58065,21998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,KMHH351EMKU088567,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203 @ 4700 RPM,120 @ 6200 RPM,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2016,2016 Toyota 86 GTS ZN6 MY15,54925,27999,Manual,Coupe,Rear Wheel Drive,Premium Unleaded Petrol,7.8,Grey,JF1ZN6K81GG034928,Total Nissan used,"1251 Albany Highway, Cannington, WA",4,2,1998,4,50,16,205 @ 6400 RPM,147 @ 7000 RPM,1275,Toyota,86,GTS,-32.011251,115.925422
2019,2019 Hyundai I30 Active PD2 MY19,62365,21998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,White,KMHH351EMKU097590,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203 @ 4700 RPM,120 @ 6200 RPM,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2016,2016 Hyundai Accent Active RB4 MY16,129250,14999,Other,Hatch,Front Wheel Drive,Unleaded Petrol,6.2,White,KMHCT51BTGU276587,How I Met My Car,"15 Forrest Street, Subiaco, WA",5,5,1368,4,43,16,133 @ 3500 RPM,74 @ 6000 RPM,1140,Hyundai,Accent,Active,-31.94821725,115.82050213950265
2010,2010 Hyundai I30 CW SX 2.0 FD MY10,197837,7999,Manual,Wagon,Front Wheel Drive,Unleaded Petrol,7.7,White,KMHDB81ELBU089350,Wangara Used Car Centre,"7 Pembroke Road, Wangara, WA",5,4,1975,4,53,16,186 @ 4500 RPM,105 @ 6000 RPM,1390,Hyundai,I30,CW SX 2.0,-31.797369,115.818506
2020,2020 Mazda CX-5 Touring (4X4) MY19 (KF Series 2),67009,35888,Automatic,Suv,All Wheel Drive,Unleaded Petrol,7.5,Silver,JM0KF4WLA00403791,Total Nissan used,"1251 Albany Highway, Cannington, WA",5,4,2488,4,58,16,252 @ 4000 RPM,140 @ 6000 RPM,1641,Mazda,CX-5,Touring (4X4),-32.011251,115.925422
2014,2014 Porsche Cayenne Diesel Platinum Edition Series 2,133114,49900,Other,Suv,All Wheel Drive,Diesel,7.4,Grey,WP1ZZZ92ZELA44656,Porsche Centre Perth used,"101 Stirling Highway, Nedlands, WA",5,4,2967,6,100,24,550 @ 2000 RPM,176 @ 4000 RPM,2175,Porsche,Cayenne,Diesel Platinum Edition,-31.97905425,115.80173020000001
