Year model,Car Spec,Kilometres,Price,Transmission,Body type,Drive type,Fuel type,Fuel consumption per 100km,Colour ext,VIN,Dealer,Address,Seating capacity,Doors,CC,Number of cylinders,Fuel tank capacity,Valve gear type,Maximum torque,Maximum power (kW),Kerb weight,Make,Model,Variant,lat,lon
2021,2021 Mercedes-Benz Vito 116 CDI LWB RWD 447 MY21,13000,63990,Other,Other,Rear Wheel Drive,Diesel,6.8,White,W1V44760523920378,Mercedes-Benz Perth used,"1093 Albany Highway, Bentley, WA",2,5,2143,4,70,16,380 @ 1400 RPM,120 @ 3800 RPM,1990,Mercedes-Benz,Vito,116 CDI LWB RWD,-31.999547,115.916029
2009,2009 Chrysler 300C CRD LE MY08,232824,12990,Automatic,Sedan,Rear Wheel Drive,Diesel,8.2,Silver,1C3H9E3M09Y505642,Wangara Motors,"25 Prindiville Drive, Wangara, WA",5,4,2987,6,71,24,510 @ 1600 RPM,160 @ 3800 RPM,1782,Chrysler,300C,CRD,-31.79038,115.81869
2003,2003 Toyota Camry Altise ACV36R,120810,7990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,9.5,White,6T153BK360X019276,Zai Motors,"1042 Albany Highway, Saint James, WA",5,4,2362,4,70,16,218 @ 4000 RPM,112 @ 5600 RPM,1370,Toyota,Camry,Altise,-31.996515,115.914741
2007,2007 Toyota Tarago GLI V6 GSR50R,235901,13990,Automatic,Wagon,Front Wheel Drive,Premium Unleaded Petrol,10.2,Silver,TBATBATBATBATBATB,Capital Automotive group,"8 Parkland Road, Osborne Park, WA",8,4,3456,6,65,24,340 @ 4700 RPM,202 @ 6200 RPM,1870,Toyota,Tarago,GLI V6,-31.91667,115.817585
2015,2015 Suzuki Swift GL Navigator FZ MY14,93770,14999,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.2,White,JSAFZC82S00312384,Wangara Used Car Centre,"7 Pembroke Road, Wangara, WA",5,5,1372,4,42,16,130 @ 4000 RPM,70 @ 6000 RPM,1045,Suzuki,Swift,GL Navigator,-31.797369,115.818506
2020,2020 Volkswagen Golf 110 TSI Trendline AU MY20,32360,24999,Other,Wagon,Front Wheel Drive,Premium Unleaded Petrol,5.6,Grey,WVWZZZAUZLP569548,Town of Cars,"4 Christian Court, Bayswater, WA",5,4,1395,4,50,16,250 @ 1500 RPM,110 @ 5000 RPM,1324,Volkswagen,Golf,110 TSI Trendline,-31.90887,115.91621
2014,2014 Mitsubishi Triton GLX MN MY15,53500,24990,Manual,Ute tray,Rear Wheel Drive,Diesel,8.1,White,MMAJNKB40ED010486,AutoTribe,"545 Newcastle Street, West Perth, WA",5,4,2477,4,75,16,400 @ 2000 RPM,131 @ 4000 RPM,1691,Mitsubishi,Triton,GLX,-31.94074,115.84835
2018,2018 Isuzu D-MAX SX (4X4) TF MY18,104532,39980,Automatic,Ute tray,4x4,Diesel,7.9,White,MPATFS85JJT007873,Westside Auto Wholesale,"42 Ewing Street, Bentley, WA",5,4,2999,4,76,16,430 @ 1800 RPM,130 @ 3600 RPM,1815,Isuzu,D-MAX,SX (4X4),-31.99962,115.9236
2003,2003 Ford Falcon XR8 BA,206213,12990,Manual,Sedan,Rear Wheel Drive,Unleaded Petrol,12.5,Blue,6FPAAAJGSW3D49563,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,5408,8,68,32,500 @ 4250 RPM,260 @ 5250 RPM,1747,Ford,Falcon,XR8,-32.04529,115.97387
2008,2008 Holden Commodore SV6 VE MY09,213297,12990,Automatic,Wagon,Rear Wheel Drive,Unleaded Petrol,11.0,Other,6G1EK85799L311101,Capital Automotive group,"8 Parkland Road, Osborne Park, WA",5,4,3565,6,73,24,340 @ 2600 RPM,195 @ 6500 RPM,1684,Holden,Commodore,SV6,-31.91667,115.817585
2009,2009 Mazda 3 Maxx Sport BL,175303,10990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,8.2,Red,JM0BL10F100134740,Perth Cars and Commercials,"707 Albany Highway, East Victoria Park, WA",5,4,1999,4,55,16,182 @ 4500 RPM,108 @ 6500 RPM,1305,Mazda,3,Maxx Sport,-31.98209,115.90096
2022,2022 Toyota Yaris Ascent Sport Mxpa10R,9400,28888,Continuous Variable,Hatch,Front Wheel Drive,Unleaded Petrol,4.9,White,JTDKAAA3001005214,City Toyota Perth,"220 Newcastle Street, Northbridge, WA",5,5,1490,3,40,16,145 @ 3800 RPM,88 @ 6600 RPM,1025,Toyota,Yaris,Ascent Sport,-31.9432313,115.8544195
2009,2009 Honda City VTI-L GM,96749,12888,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,6.6,Grey,MRHGM26609P050400,Volkswagen Osborne Park used,"435 Scarborough Beach Road, Osborne Park, WA",5,4,1497,4,42,16,145 @ 4800 RPM,88 @ 6600 RPM,1160,Honda,City,VTI-L,-31.90835,115.8103
2012,2012 Hyundai Veloster SR Turbo FS MY13,125701,17990,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,6.4,Black,KMHTC61ELDU088760,Value My Car,"133 Welshpool Road, Welshpool, WA",4,3,1591,4,50,16,265 @ 1750 RPM,150 @ 6000 RPM,1265,Hyundai,Veloster,SR Turbo,-31.995224,115.932444
2015,2015 Volkswagen Polo 66 TSI Trendline 6R MY15,104252,13987,Other,Hatch,Front Wheel Drive,Premium Unleaded Petrol,4.8,Other,WVWZZZ6RZFU100577,Aberdeen Auto Auctions,"527 Newcastle Street, West Perth, WA",5,5,1197,4,45,16,160 @ 1400 RPM,66 @ 4400 RPM,1082,Volkswagen,Polo,66 TSI Trendline,-31.941255,115.848861
2016,2016 Hyundai I30 Active X GD4 Series 2,177540,15990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.1,Silver,KMHD351EMHU351460,Wangara Motors,"25 Prindiville Drive, Wangara, WA",5,5,1797,4,50,16,175 @ 4700 RPM,107 @ 6500 RPM,1270,Hyundai,I30,Active X,-31.79038,115.81869
2012,2012 Hyundai I45 Active YF MY11,107001,13980,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,7.9,Other,KMHEC41DMCA461784,Canning Vale Toyota,"209 Bannister Road, Canning Vale, WA",5,4,2359,4,70,16,250 @ 4250 RPM,148 @ 6300 RPM,1529,Hyundai,I45,Active,-32.06485,115.90025
2010,2010 Subaru Liberty 2.5I GT Premium MY10,235000,12999,Automatic,Sedan,All Wheel Drive,Premium Unleaded Petrol,9.7,Other,JF1BM9KV3AG005691,Carz HQ,"1735 Albany Highway, Kenwick, WA",5,4,2457,4,65,16,350 @ 2400 RPM,195 @ 5600 RPM,1522,Subaru,Liberty,2.5I GT Premium,-32.0401613,115.9709649
2015,2015 Mitsubishi Lancer ES Sport CJ MY15,35677,18990,Other,Sedan,Front Wheel Drive,Unleaded Petrol,7.2,Silver,JMFSTCY4AFU005727,Motor Mall WA,"41 Buckingham Drive, Wangara, WA",5,4,1998,4,59,16,198 @ 4250 RPM,113 @ 6000 RPM,1335,Mitsubishi,Lancer,ES Sport,-31.78645,115.81995
2006,2006 Toyota Corolla Ascent ZZE122R MY06 Upgrade,86750,9990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,7.4,White,JTDBR22E203184858,TM Wholesale,"25 Guildford Road, Mount Lawley, WA",5,4,1794,4,55,16,161 @ 4200 RPM,93 @ 6000 RPM,1050,Toyota,Corolla,Ascent,-31.91463,115.93485
2021,2021 Nissan 370Z (5YR) Z34 MY18,6212,54999,Manual,Coupe,Rear Wheel Drive,Premium Unleaded Petrol,10.6,Red,JN1GAAZ34A0540321,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",2,2,3696,6,72,24,363 @ 5200 RPM,245 @ 7000 RPM,1485,Nissan,370Z,(5YR),-31.995227,115.938215
2020,2020 Mitsubishi ASX LS (2WD) XD MY20,57921,25999,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,7.6,Blue,JMFXTGA2WMU004209,Southside Mitsubishi used,"1261 Albany Highway, Cannington, WA",5,4,1999,4,63,16,197 @ 4200 RPM,110 @ 6000 RPM,1380,Mitsubishi,ASX,LS (2WD),-32.012637,115.926416
2021,2021 Toyota Camry Ascent Hybrid Axhv70R,2654,44990,Continuous Variable,Sedan,Front Wheel Drive,Premium Unleaded/Electric,4.5,White,JTNBA3HK503011860,Value My Car,"133 Welshpool Road, Welshpool, WA",5,4,2487,4,50,16,221 @ 3600 RPM,131 @ 5700 RPM,1580,Toyota,Camry,Ascent Hybrid,-31.995224,115.932444
2020,2020 Toyota Corolla Ascent Sport + Navigation Mzea12R,36498,27290,Other,Sedan,Front Wheel Drive,Unleaded Petrol,6.0,White,JTDB43CEX0J069939,AUS Vehicle Sales - Bassendean,"324 Collier Road, Bassendean, WA",5,4,1987,4,50,16,200 @ 4400 RPM,125 @ 6600 RPM,1365,Toyota,Corolla,Ascent Sport + Navigation,-31.906315,115.932176
2008,2008 Hyundai I30 SLX 1.6 Crdi FD MY09,197523,9985,Automatic,Hatch,Front Wheel Drive,Diesel,6.0,Blue,KMHDB51TR8U095092,Auto Planet WA,"468 Albany Highway, Victoria Park, WA",5,5,1582,4,53,16,255 @ 1900 RPM,85 @ 4000 RPM,1399,Hyundai,I30,SLX 1.6 Crdi,47.4558162,-122.20913610939236
2013,2013 Mitsubishi Lancer ES CJ MY13,66583,16988,Other,Sedan,Front Wheel Drive,Unleaded Petrol,7.2,White,JMFSTCY4AEU000750,Regent,"4 Hocking Road, KINGSLEY, WA",5,4,1998,4,59,16,198 @ 4250 RPM,113 @ 6000 RPM,1335,Mitsubishi,Lancer,ES,-31.80094,115.81669
2015,2015 Audi A4 1.8 Tfsi B8 (8K) MY15,72987,25990,Other,Sedan,Front Wheel Drive,Premium Unleaded Petrol,5.8,Silver,WAUZZZ8K3FA153852,MT Lawley Motors P/L,"391 Guildford Road, Bayswater, WA",5,4,1798,4,63,16,320 @ 1400 RPM,125 @ 3800 RPM,1470,Audi,A4,1.8 Tfsi,-31.92562,115.90992
2012,2012 Volkswagen Golf 118 TSI 1C,152000,12990,Other,Other,Front Wheel Drive,Premium Unleaded Petrol,6.5,Black,WVWZZZ1KZCK026730,Zai Motors,"1042 Albany Highway, Saint James, WA",4,2,1390,4,55,16,240 @ 1500 RPM,118 @ 5900 RPM,1424,Volkswagen,Golf,118 TSI,-31.996515,115.914741
2019,2019 Toyota C-HR Koba (2WD) NGX10R Update,59035,31888,Continuous Variable,Suv,Front Wheel Drive,Premium Unleaded Petrol,5.5,Other,JTNKY3BX601021258,Osborne Park CJD used,"474 Scarborough Beach Road, Osborne Park, WA",5,4,1197,4,50,16,185 @ 1500 RPM,85 @ 5200 RPM,1440,Toyota,C-HR,Koba (2WD),-31.90425,115.80696
2013,2013 Hyundai I30 Active GD,92920,15990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.9,Blue,KMHD251EMDU074032,Wangara MG Used,"20 Motor Parade, Wangara, WA",5,5,1797,4,53,16,178 @ 4700 RPM,110 @ 6500 RPM,1240,Hyundai,I30,Active,-31.794136,115.816569
2007,2007 Dodge Nitro SX KA,216332,9999,Automatic,Suv,4x4,Unleaded Petrol,12.1,Other,1D8G928K97W730407,Wangara Motors,"25 Prindiville Drive, Wangara, WA",5,4,3700,6,73,12,314 @ 4000 RPM,151 @ 5200 RPM,1875,Dodge,Nitro,SX,-31.79038,115.81869
2021,2021 Toyota Landcruiser LC200 GXL (4X4) VDJ200R,64400,112000,Automatic,Suv,4x4,Diesel,9.5,Grey,JTMHV01J904329980,Purely commercials Bibra Lake,"3 Salpietro Street, Bibra Lake, WA",8,4,4461,8,138,32,650 @ 1600 RPM,200 @ 3400 RPM,2700,Toyota,Landcruiser,LC200 GXL (4X4),-32.11556,115.79544
2019,2019 Kia Carnival Platinum YP PE MY20,73134,43500,Automatic,Wagon,Front Wheel Drive,Unleaded Petrol,10.8,Grey,KNAMC811ML6590258,Osborne Park CJD used,"474 Scarborough Beach Road, Osborne Park, WA",8,4,3342,6,80,24,336 @ 5200 RPM,206 @ 6000 RPM,2100,Kia,Carnival,Platinum,-31.90425,115.80696
2014,2014 Mazda 3 NEO BM,132555,18990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,5.8,Silver,JM0BM547810109847,Wangara MG Used,"20 Motor Parade, Wangara, WA",5,5,1998,4,51,16,200 @ 4000 RPM,114 @ 6000 RPM,1305,Mazda,3,NEO,-31.794136,115.816569
2011,2011 Holden Cruze SRI JH,123135,10990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,6.9,Blue,6G1PE5E81BL545925,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,1364,4,60,16,200 @ 1850 RPM,103 @ 4900 RPM,1402,Holden,Cruze,SRI,-32.04529,115.97387
2011,2011 Hyundai Accent Active RB,221791,9990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.4,White,KMHCT51DMCU009838,Uppill Place Car Disposal Centre,"77 Buckingham Drive, Wangara, WA",5,5,1591,4,43,16,156 @ 4200 RPM,91 @ 6300 RPM,1140,Hyundai,Accent,Active,-31.78773,115.82755
2015,2015 Nissan X-Trail ST-L (4X4) T32,196868,18990,Continuous Variable,Suv,4x4,Unleaded Petrol,8.3,Blue,JN1TBNT32A0007126,Value My Car,"133 Welshpool Road, Welshpool, WA",5,4,2488,4,60,16,226 @ 4400 RPM,126 @ 6000 RPM,1530,Nissan,X-Trail,ST-L (4X4),-31.995224,115.932444
2010,2010 Holden Commodore SS VE II,93219,26490,Automatic,Ute tray,Rear Wheel Drive,Unleaded Petrol,12.9,White,6G1EK4EY2AL469124,Paceway Mitsubishi used,"384 Scarborough Beach Road, Osborne Park, WA",2,2,5967,8,73,16,530 @ 4400 RPM,270 @ 5700 RPM,1704,Holden,Commodore,SS,-31.91151,115.81708
2009,2009 Mazda 3 NEO BL,137123,11985,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,8.2,Blue,JM0BL10F100134181,Auto Planet WA,"468 Albany Highway, Victoria Park, WA",5,4,1999,4,55,16,182 @ 4500 RPM,108 @ 6500 RPM,1290,Mazda,3,NEO,47.4558162,-122.20913610939236
2011,2011 Audi A4 2.0 TDI B8 (8K) MY11,133169,14985,Other,Sedan,Front Wheel Drive,Diesel,5.8,Other,WAUZZZ8K1BA175715,Auto Planet WA,"468 Albany Highway, Victoria Park, WA",5,4,1968,4,65,16,320 @ 1750 RPM,105 @ 4200 RPM,1555,Audi,A4,2.0 TDI,47.4558162,-122.20913610939236
2015,2015 Volkswagen Polo 81 TSI Comfortline 6R MY16,84838,16992,Manual,Hatch,Front Wheel Drive,Premium Unleaded Petrol,4.9,Grey,WVWZZZ6RZFU066613,Westside Auto Wholesale,"42 Ewing Street, Bentley, WA",5,5,1197,4,45,16,175 @ 1400 RPM,81 @ 4600 RPM,1151,Volkswagen,Polo,81 TSI Comfortline,-31.99962,115.9236
2013,2013 Jeep Grand Cherokee Laredo (4X4) WK MY13,80016,24998,Automatic,Suv,All Wheel Drive,Diesel,8.3,Black,1C4RJFEM6DC625171,easyauto123 (Cannington),"1261 Albany Highway, Cannington, WA",5,4,2987,6,93,24,550 @ 1800 RPM,177 @ 4000 RPM,2191,Jeep,Grand Cherokee,Laredo (4X4),-32.012637,115.926416
2011,2011 Hyundai I30 SX FD MY11,127550,10985,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.9,Blue,KMHDB51DMBU319677,Auto Planet WA,"468 Albany Highway, Victoria Park, WA",5,5,1591,4,53,16,153 @ 4200 RPM,89 @ 6200 RPM,1323,Hyundai,I30,SX,47.4558162,-122.20913610939236
2008,2008 Toyota Corolla Ascent ZRE152R,167562,9990,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,JTNKU52E401074823,Galleria Toyota,"70-84 Collier Road, Morley, WA",5,5,1798,4,55,16,175 @ 4400 RPM,100 @ 6000 RPM,1330,Toyota,Corolla,Ascent,-31.900748,115.903642
2019,2019 Nissan X-Trail ST-L (2WD) T32 Series 2,194478,18500,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,7.9,White,JN1TBAT32A0060124,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,2488,4,60,16,226 @ 4400 RPM,126 @ 6000 RPM,1493,Nissan,X-Trail,ST-L (2WD),-31.987188,115.935923
2007,2007 Holden Commodore Omega VE,153721,9990,Automatic,Sedan,Rear Wheel Drive,Unleaded Petrol,11.0,White,6G1EK55749L300487,Perth Cars and Commercials,"707 Albany Highway, East Victoria Park, WA",5,4,3565,6,73,24,330 @ 2600 RPM,180 @ 6000 RPM,1622,Holden,Commodore,Omega,-31.98209,115.90096
2016,2016 Ford Ranger XL 3.2 (4X4) PX Mkii,205556,27880,Automatic,Ute tray,4x4,Diesel,8.8,White,MNAUMAF50FW524020,Webb Auto Sales,"76 Division Street, Welshpool, WA",2,2,3198,5,80,20,470 @ 1500 RPM,147 @ 3000 RPM,1795,Ford,Ranger,XL 3.2 (4X4),-31.987188,115.935923
2014,2014 Kia Cerato Koup Touring YD MY14,85106,17888,Manual,Coupe,Front Wheel Drive,Unleaded Petrol,7.5,Red,KNAFZ613LE5181459,Roadbend Motors,"32 Welshpool Rd, Welshpool, WA",5,2,1591,4,52,16,265 @ 4500 RPM,150 @ 6000 RPM,1288,Kia,Cerato,Koup Touring,-31.99353,115.91866
2022,2022 Subaru Outback AWD Sport MY22,7113,47999,Continuous Variable,Suv,All Wheel Drive,Unleaded Petrol,7.3,Silver,JF2BT9KL3NG031098,Subaru Osborne Park used,"435 Scarborough Beach Road, Osborne Park, WA",5,4,2498,4,63,16,245 @ 3400 RPM,138 @ 5800 RPM,1629,Subaru,Outback,AWD Sport,-31.90835,115.8103
2007,2007 Subaru Outback 3.0R MY07,159867,10975,Other,Suv,All Wheel Drive,Premium Unleaded Petrol,10.9,Grey,JF2BPEKUA8G065305,Daley Motors WA,"217 Railway Avenue, Kelmscott, WA",5,4,3000,6,64,24,297 @ 4200 RPM,180 @ 6600 RPM,1540,Subaru,Outback,3.0R,-32.13237,116.0101
2016,2016 Holden Barina CD TM MY16,142500,10999,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,6.6,White,KL3TA69E9GB534184,How I Met My Car,"15 Forrest Street, Subiaco, WA",5,4,1598,4,46,16,155 @ 4000 RPM,85 @ 6000 RPM,1235,Holden,Barina,CD,-31.94821725,115.82050213950265
2019,2019 Ford Ranger XLS 3.2 (4X4) PX Mkiii MY19.75,91184,48990,Automatic,Ute tray,4x4,Diesel,8.9,Other,MPBUMFF50KX233401,Grand Toyota Wangara used,"1 Lancaster Road, Wangara, WA",5,4,3198,5,80,20,470 @ 1500 RPM,147 @ 3000 RPM,2209,Ford,Ranger,XLS 3.2 (4X4),-31.796743,115.815802
2012,2012 Mitsubishi Outlander Activ (fwd) ZH MY12,184369,12990,Other,Suv,Front Wheel Drive,Unleaded Petrol,9.3,Other,JMFXTCW5WCU004670,DNA CAR SALES,"16 Baretta Road, Wangara, WA",5,4,2359,4,63,16,226 @ 4100 RPM,125 @ 6000 RPM,1507,Mitsubishi,Outlander,Activ (fwd),-31.79241,115.82027
2010,2010 Toyota Yaris YR NCP90R 10 Upgrade,193500,9900,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.5,Blue,JTDKW923X05159906,TM Wholesale,"25 Guildford Road, Mount Lawley, WA",5,5,1299,4,42,16,121 @ 4400 RPM,63 @ 6000 RPM,1010,Toyota,Yaris,YR,-31.91463,115.93485
2016,2016 Hyundai Veloster SR Turbo FS4 Series 2,76000,24999,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,6.9,White,KMHTC61ELGU292374,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",4,3,1591,4,50,16,265 @ 1750 RPM,150 @ 6000 RPM,1270,Hyundai,Veloster,SR Turbo,-31.995227,115.938215
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,33645,22750,Other,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU083019,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,999,3,40,12,175 @ 2000 RPM,70 @ 5000 RPM,1104,Volkswagen,Polo,70TSI Trendline,-31.987188,115.935923
2016,2016 Toyota Hilux SR (4X4) GUN126R,200236,32850,Automatic,Ute tray,4x4,Diesel,8.5,White,MR0KA3CD501195689,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,2753,4,80,16,450 @ 1600 RPM,130 @ 3400 RPM,1955,Toyota,Hilux,SR (4X4),-31.987188,115.935923
2013,2013 Jeep Patriot Sport (4X2) MK MY12,158350,9999,Other,Suv,Rear Wheel Drive,Premium Unleaded Petrol,8.3,Red,1C4NJPDAXDD235616,The Car Guys,"1143 Albany Highway, Bentley, WA",5,4,1998,4,51,16,190 @ 5100 RPM,115 @ 6300 RPM,1570,Jeep,Patriot,Sport (4X2),-32.00236,115.91905
2007,2007 Holden Commodore Berlina VE,175771,9990,Automatic,Sedan,Rear Wheel Drive,Unleaded Petrol,11.0,Silver,6G1EL54B78L970746,Motor Mall WA,"41 Buckingham Drive, Wangara, WA",5,4,3565,6,73,24,330 @ 2600 RPM,180 @ 6000 RPM,1641,Holden,Commodore,Berlina,-31.78645,115.81995
2013,2013 Audi A6 2.8 FSI Quattro 4GL,100107,17990,Automatic,Sedan,All Wheel Drive,Premium Unleaded Petrol,8.0,Silver,WAUZZZ4G0DN141892,Aberdeen Auto Auctions,"527 Newcastle Street, West Perth, WA",5,4,2773,6,75,24,280 @ 3000 RPM,150 @ 5250 RPM,1680,Audi,A6,2.8 FSI Quattro,-31.941255,115.848861
2009,2009 Kia Sportage LX (fwd) KM,194864,8880,Other,Suv,Front Wheel Drive,Unleaded Petrol,8.2,Silver,KNAKH812MA7697859,Kings Auto Motors Pty Ltd,"1726 Albany Highway, Kenwick, WA",5,4,1975,4,58,16,184 @ 4500 RPM,104 @ 6000 RPM,1590,Kia,Sportage,LX (fwd),-32.03925,115.97075
2015,2015 Skoda Fabia 66 TSI NJ,93437,12998,Manual,Hatch,Front Wheel Drive,Premium Unleaded Petrol,4.8,Red,TMBFM6NJ8GZ072864,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,5,1197,4,45,16,160 @ 1400 RPM,66 @ 4400 RPM,1042,Skoda,Fabia,66 TSI,-32.0166894,115.9322155
2004,2004 Honda Accord Euro Luxury,221497,7990,Other,Sedan,Front Wheel Drive,Premium Unleaded Petrol,9.4,Red,JHMCL96804C215005,Uppill Place Car Disposal Centre,"77 Buckingham Drive, Wangara, WA",5,4,2354,4,65,16,223 @ 4500 RPM,140 @ 6800 RPM,1430,Honda,Accord Euro,Luxury,-31.78773,115.82755
2019,2019 Nissan Navara N-Trek Warrior (4X4) D23 Series 4 MY19,39055,55777,Automatic,Ute tray,4x4,Diesel,7.0,Grey,MNTCB4D23A0061817,Total Nissan used,"1251 Albany Highway, Cannington, WA",5,4,2298,4,80,16,450 @ 1500 RPM,140 @ 3750 RPM,2186,Nissan,Navara,N-Trek Warrior (4X4),-32.011251,115.925422
2017,2017 Mazda BT-50 XT (4X2) MY16,159251,19990,Manual,Ute tray,Rear Wheel Drive,Diesel,7.6,White,MM0UR0YE100785044,Osborne Park Mazda used,"430 Scarborough Beach Road, Osborne Park, WA",3,2,2198,4,80,16,375 @ 1500 RPM,110 @ 3700 RPM,1619,Mazda,BT-50,XT (4X2),-31.90779,115.81192
2019,2019 Hyundai I30 Active PD2 MY19,76510,21998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,KMHH351EMKU099535,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203 @ 4700 RPM,120 @ 6200 RPM,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2023,2023 Isuzu MU-X LS-T (4X4) RJ5 MY23,24,79995,Other,Suv,4x4,Diesel,8.3,White,MPAUCS40GPT007755,Westside Auto Wholesale,"42 Ewing Street, Bentley, WA",7,4,2999,4,80,16,450 @ 1600 RPM,140 @ 3600 RPM,2175,Isuzu,MU-X,LS-T (4X4),-31.99962,115.9236
2016,2016 Holden Commodore SV6 Reserve Edition VF II,132906,25921,Automatic,Sedan,Rear Wheel Drive,Unleaded Petrol,9.5,White,6G1FB5E30GL217671,Next Ride,"464 Canning Highway, Como, WA",5,4,3565,6,73,24,350 @ 2900 RPM,210 @ 6400 RPM,1684,Holden,Commodore,SV6 Reserve Edition,-32.00604,115.8597
2016,2016 Nissan Qashqai TI (4X2) J11,128261,19990,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,6.9,Silver,SJNFBAJ11A1619987,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,1997,4,65,16,200 @ 4400 RPM,106 @ 6000 RPM,1457,Nissan,Qashqai,TI (4X2),-32.04529,115.97387
2013,2013 Suzuki Kizashi Touring FR MY13,111004,12998,Manual,Sedan,Front Wheel Drive,Unleaded Petrol,7.9,Red,JSAFRE91S00123799,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,2393,4,63,16,230 @ 4000 RPM,131 @ 6500 RPM,1450,Suzuki,Kizashi,Touring,-32.0166894,115.9322155
2007,2007 Peugeot 207 XT,93900,9990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.0,Red,VF3WC5FWF33714324,Perth Cars and Commercials,"707 Albany Highway, East Victoria Park, WA",5,5,1598,4,50,16,160 @ 4250 RPM,88 @ 6000 RPM,1275,Peugeot,207,XT,-31.98209,115.90096
2016,2016 Holden Commodore SV6 VF II,185775,21998,Automatic,Wagon,Rear Wheel Drive,Unleaded Petrol,9.8,White,6G1FB8E30GL234908,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,3565,6,73,24,350 @ 2900 RPM,210 @ 6400 RPM,1684,Holden,Commodore,SV6,-32.0166894,115.9322155
2014,2014 Holden Cruze CD JH MY14,81805,12998,Automatic,Wagon,Front Wheel Drive,Unleaded Petrol,7.4,White,KL3JA35MJGK306254,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1796,4,60,16,176 @ 3800 RPM,104 @ 6200 RPM,1432,Holden,Cruze,CD,-32.0166894,115.9322155
2007,2007 Mitsubishi Outlander XLS ZG,170455,10999,Other,Suv,4x4,Unleaded Petrol,9.5,Black,JMFXTCW5W7Z002578,The Car Guys,"1143 Albany Highway, Bentley, WA",5,4,2359,4,60,16,226 @ 4100 RPM,125 @ 6000 RPM,1560,Mitsubishi,Outlander,XLS,-32.00236,115.91905
2014,2014 Nissan X-Trail TI (4X4) T32,169446,19990,Continuous Variable,Suv,4x4,Unleaded Petrol,8.3,White,JN1TBNT32A0003906,Osborne Park Nissan used,"300 Scarborough Beach Road, Osborne Park, WA",5,4,2488,4,60,16,226 @ 4400 RPM,126 @ 6000 RPM,1530,Nissan,X-Trail,TI (4X4),-31.913327,115.824971
2018,2018 Mazda CX-3 S Touring (fwd) DK MY17.5,58000,26750,Automatic,Suv,Front Wheel Drive,Unleaded Petrol,6.1,White,MM0DK2W7A0W223051,Osborne Park Nissan used,"300 Scarborough Beach Road, Osborne Park, WA",5,4,1998,4,48,16,192 @ 2800 RPM,109 @ 6000 RPM,1226,Mazda,CX-3,S Touring (fwd),-31.913327,115.824971
2014,2014 Ford Territory Titanium (4X4) SZ,155635,20998,Automatic,Suv,All Wheel Drive,Diesel,9.0,Black,6FPAAAJGATEL55290,Gardner Commercials,"1308 Albany Highway, Cannington, WA",7,4,2720,6,75,24,440 @ 1900 RPM,140 @ 4000 RPM,2132,Ford,Territory,Titanium (4X4),-32.015497,115.931154
